EmployeeNumber,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel
1172,2258,16340,982,58,12,1
1173,3597,6409,477,49,22,0
1175,2515,22955,1485,79,11,0
1177,4420,13421,1384,82,22,1
1179,6578,2706,852,72,18,1
1180,4422,21203,902,92,13,1
1182,10274,19588,819,44,18,1
1184,5343,25755,669,97,20,0
1185,2376,26537,636,47,13,1
1188,5346,9489,1372,85,13,0
1190,2827,14947,862,76,12,3
1191,19943,18575,718,92,13,1
1192,3131,26342,1401,54,13,1
1193,2552,7172,645,54,25,0
1195,4477,20100,1457,83,19,1
1196,6474,9961,977,56,13,1
1198,3033,12828,805,87,12,0
1200,2936,10826,1097,96,11,0
1201,18606,18640,1223,50,18,1
1202,2168,26933,942,69,18,1
1203,2853,4223,1256,48,11,1
1204,17048,24097,1402,69,23,0
1206,2290,4279,111,74,13,0
1207,3600,8429,147,99,13,1
1210,2107,20293,906,95,17,1
1211,4115,13192,1329,61,19,3
1212,4327,25440,1184,62,12,3
1215,17856,9490,1421,30,22,1
1216,3196,12449,1179,78,12,3
1217,19081,10849,1450,52,11,1
1218,8966,21026,1361,94,15,3
1219,2210,3372,984,97,13,1
1220,4539,4905,1146,82,12,1
1221,2741,6865,917,60,14,1
1224,3491,11309,853,49,13,3
1225,4541,7744,200,32,25,0
1226,2678,5050,654,43,17,0
1228,7379,17433,150,60,11,1
1231,6272,12858,179,79,16,1
1233,5220,10893,696,52,18,1
1234,2743,7331,116,77,20,1
1235,4998,2338,1316,38,14,0
1237,10252,4235,363,77,21,1
1238,2781,6311,117,60,13,1
1239,6852,11591,107,84,12,1
1240,4950,20623,1356,57,14,0
1241,3579,9369,1465,63,21,1
1242,13191,23281,458,60,17,0
1243,10377,13755,1212,78,11,1
1244,2235,14377,1103,42,14,2
1245,10502,9659,966,53,17,1
1246,2011,19982,1117,72,13,1
1248,1859,6148,504,96,25,0
1249,3760,5598,1010,97,15,3
1250,17779,23474,685,85,14,0
1251,6833,17089,1332,80,12,0
1252,6812,17198,1062,96,19,0
1254,5171,16490,326,48,17,0
1255,19740,18625,920,96,14,1
1256,18711,12124,1098,85,13,1
1257,3692,9256,469,46,12,0
1258,2559,16620,969,76,11,0
1259,2517,3208,1167,76,11,3
1260,6623,4204,1329,82,11,2
1263,18265,8733,715,76,12,0
1264,16124,3423,694,87,14,2
1265,2585,21643,1320,89,17,0
1267,18213,8751,1099,88,11,1
1268,8380,21708,536,82,14,2
1269,2994,21221,265,57,12,0
1270,1223,16901,373,47,22,1
1273,1118,8040,599,73,14,0
1275,2875,9973,583,53,20,0
1277,18824,2493,1449,94,16,0
1278,13577,25592,177,37,15,1
1279,2625,25308,251,45,20,0
1280,18789,9946,168,33,14,1
1281,4538,6039,131,86,12,0
1282,19847,19196,237,83,24,1
1283,10512,20002,1429,67,12,0
1285,4444,22534,135,46,13,2
1286,2154,6842,791,44,11,0
1288,19190,17477,1199,92,14,2
1289,4490,21833,648,56,11,2
1291,3506,6020,735,66,14,0
1292,2372,5628,603,78,16,0
1293,10231,20364,531,56,14,0
1294,5410,2323,429,53,11,0
1295,7978,14075,621,73,11,1
1296,3867,14222,193,52,12,1
1297,2838,4257,968,40,14,0
1298,4695,12858,879,72,18,0
1299,3339,17285,806,39,13,2
1301,2080,4732,640,84,11,0
1303,2096,18830,266,40,18,0
1304,6209,11693,604,56,15,2
1306,18061,13035,364,83,22,0
1307,17123,17334,412,94,13,2
1308,2372,26076,848,88,12,2
1309,4883,22845,1089,79,18,1
1310,3904,22154,360,93,13,0
1311,4627,23631,1138,48,12,1
1312,7094,5747,325,63,12,0
1314,3423,22957,991,44,12,0
1315,6674,16392,1476,55,11,3
1317,16880,22422,1322,43,11,0
1318,9094,17235,299,57,12,0
1319,8446,21534,1030,64,19,0
1321,11916,25927,634,95,23,2
1322,4534,13352,524,32,11,0
1324,9852,8935,587,57,19,1
1329,6151,22074,256,40,13,0
1331,2302,8319,1060,54,11,0
1333,2362,14669,935,89,12,0
1334,17861,26582,495,37,13,0
1336,19187,6992,282,58,14,1
1338,19717,4022,206,99,14,0
1340,3544,8532,458,74,16,1
1344,8500,5494,943,86,11,1
1346,4661,22455,523,98,13,0
1349,4103,4297,1018,66,17,1
1350,4249,2690,482,87,11,0
1352,14026,17588,770,84,11,1
1355,6893,19461,1009,31,15,1
1356,6125,23553,507,66,12,0
1358,3669,9075,882,67,11,3
1360,10008,12023,601,53,14,0
1361,2387,6762,329,88,22,1
1362,4639,2261,607,83,16,1
1363,7898,18706,855,54,11,0
1364,2534,6527,1291,98,14,1
1367,13142,24439,1405,82,16,0
1368,1611,19305,1124,97,15,0
1369,5363,10846,817,60,12,1
1371,5071,20392,793,43,20,0
1372,13695,9277,267,85,17,0
1373,13402,18235,1369,68,12,1
1374,2029,15891,999,92,20,3
1375,6377,13888,1202,89,20,3
1377,5429,17491,285,86,13,2
1379,2785,11882,703,90,14,0
1380,4614,23288,662,67,18,1
1382,2610,15748,693,57,11,3
1383,6687,6163,404,98,11,0
1387,4724,24232,736,48,11,1
1389,6179,21057,330,98,15,2
1390,6120,3567,1498,44,12,2
1391,10596,15395,541,52,11,0
1392,5467,13953,1200,75,14,2
1394,2996,5182,1439,54,15,0
1395,9998,19293,1111,61,13,0
1396,4078,20497,499,36,13,3
1397,10920,3449,1485,71,21,1
1399,6232,12477,1372,93,11,0
1401,13247,9731,322,59,11,1
1402,4081,20003,930,73,14,0
1403,5769,7100,205,98,11,0
1405,2394,25681,135,51,13,0
1407,3904,4050,683,36,12,0
1408,16799,16616,1147,31,14,1
1409,2950,17363,258,54,13,0
1411,3629,19106,1462,94,18,0
1412,9362,19944,200,60,11,0
1415,3229,4910,949,81,11,1
1417,3578,23577,652,100,12,0
1419,7988,9769,332,51,13,0
1420,4284,22710,1475,97,20,0
1421,7553,22930,337,84,12,0
1422,17328,5652,971,54,19,0
1423,19701,22456,1055,76,21,1
1424,14732,12414,1136,81,13,2
1425,9278,20763,1174,99,16,0
1427,1359,16154,667,50,12,0
1428,4779,12761,855,73,14,2
1430,16422,8847,182,93,11,0
1431,2996,20284,560,91,14,2
1433,1261,22262,202,34,12,0
1434,2099,7679,1377,91,14,0
1435,5810,22604,172,37,16,0
1436,5647,13494,329,98,13,2
1438,3420,10205,465,74,12,1
1439,4400,15182,383,68,12,0
1440,3500,25470,1413,84,14,0
1441,2066,10494,1255,90,22,1
1443,17169,26703,359,82,19,2
1445,4162,15211,1476,42,12,2
1446,9204,23343,601,97,12,1
1447,3294,3708,401,86,17,1
1448,2127,5561,1283,90,12,0
1449,3975,23099,663,81,11,2
1453,10793,8386,326,31,18,1
1457,10096,15986,377,52,11,1
1458,3646,17181,592,54,23,0
1459,7446,8931,1445,100,11,0
1460,10851,19863,1038,95,18,1
1461,2109,24609,1398,96,18,0
1464,3722,21081,523,94,13,1
1465,9380,14720,1448,55,18,2
1466,5486,24795,1221,96,11,3
1467,2742,3072,1107,52,15,0
1468,13757,25178,218,55,11,1
1469,8463,23490,866,84,18,0
1471,3162,7973,981,90,14,0
1472,16598,19764,447,39,12,0
1473,6651,21534,1495,96,14,1
1474,2345,8045,896,68,14,1
1475,3420,21158,1467,49,13,0
1477,4373,17456,430,54,14,2
1478,4759,15891,1326,81,18,0
1479,5301,2939,1358,96,15,2
1480,3673,16458,748,74,13,0
1481,4768,9282,383,79,12,1
1482,1274,7152,990,64,13,2
1483,4900,2721,405,93,24,1
1484,10466,20948,1490,35,14,2
1485,17007,11929,829,71,14,2
1486,2909,15747,1496,92,15,1
1487,5765,17485,115,51,11,0
1489,4599,7815,790,40,23,0
1492,2404,16192,660,76,13,1
1494,3172,16998,381,89,11,0
1495,2033,7103,830,78,13,1
1496,10209,19719,1193,86,18,0
1497,8620,23757,1246,77,14,2
1499,2064,15428,330,46,21,1
1501,4035,16143,1229,30,16,0
1502,3838,8192,1099,82,11,0
1503,4591,24200,571,78,17,1
1504,2561,5355,289,38,11,0
1506,1563,12530,1423,72,14,1
1507,4898,11827,467,55,14,0
1509,4789,23070,271,43,25,1
1513,3180,4668,410,97,13,3
1514,6549,3173,1083,96,14,2
1515,6388,22049,516,69,17,0
1516,11244,21072,495,64,25,0
1520,16032,24456,1050,87,20,1
1522,2362,7568,224,100,13,0
1523,16328,22074,136,32,13,1
1525,8376,9150,1089,32,18,0
1527,16606,11380,228,51,12,1
1529,8606,21195,1029,91,19,0
1533,2272,24812,507,97,14,0
1534,2018,21831,676,86,14,0
1535,7083,12288,971,64,14,0
1537,4084,4156,561,33,12,0
1539,14411,24450,333,88,13,0
1541,2308,4944,1440,55,25,1
1542,4841,24052,1210,68,14,1
1543,4285,3031,674,47,17,0
1544,9715,7288,441,39,13,1
1545,4320,24152,575,44,13,0
1546,2132,4585,950,97,20,1
1547,10124,18611,288,40,14,1
1548,5473,19345,1342,47,12,0
1549,5207,22949,589,79,12,1
1550,16437,17381,898,38,21,0
1551,2296,10036,350,57,14,3
1552,4069,8841,1142,72,18,0
1553,7441,20933,538,66,12,3
1554,2430,26204,1402,98,23,2
1555,5878,15624,824,67,12,1
1556,2644,17001,1157,70,21,0
1557,6439,13693,492,96,14,1
1558,2451,22376,598,91,18,2
1560,6392,10589,1242,46,13,1
1562,9714,5323,740,64,11,1
1563,6077,14814,888,71,11,0
1564,2450,21731,992,68,19,0
1568,9250,17799,1288,33,12,1
1569,2074,26619,104,69,12,1
1572,10169,14618,607,78,16,1
1573,4855,7653,903,81,11,2
1574,4087,25174,1200,62,14,1
1576,2367,16530,1108,65,12,1
1577,2972,22061,479,35,13,0
1578,19586,23037,685,60,21,1
1580,5484,13008,1351,45,17,1
1581,2061,11133,474,89,21,0
1582,9924,12355,1245,80,11,1
1583,4198,16379,437,90,12,0
1585,6815,21447,884,73,13,0
1586,4723,16213,1370,87,18,0
1587,6142,4223,670,51,16,0
1588,8237,4658,1462,38,11,1
1590,8853,24483,995,87,19,1
1591,19331,19519,264,59,16,1
1592,2073,12826,977,45,16,1
1594,5562,19711,1302,80,13,1
1595,19613,26362,1059,93,22,0
1596,3407,25348,750,46,17,2
1597,5063,15332,653,92,14,1
1598,4639,11262,118,84,15,1
1599,4876,5855,990,87,12,1
1601,2690,7713,1349,63,18,1
1602,17567,3156,563,56,15,0
1604,2408,7324,329,51,17,3
1605,2814,10293,457,85,14,0
1606,11245,20689,1234,41,15,1
1607,3312,18783,634,35,17,2
1608,19049,3549,1313,31,14,1
1609,2141,5348,241,48,12,1
1611,5769,23447,1015,50,14,0
1612,4385,24162,336,52,15,1
1613,5332,21602,715,54,13,0
1614,4663,12421,559,76,12,2
1615,4724,17000,426,42,13,1
1617,3211,22102,722,84,14,1
1618,5377,3835,1387,76,13,3
1619,4066,16290,1302,67,11,2
1621,5208,26312,819,48,11,0
1622,4877,20460,580,39,21,1
1623,3117,26009,546,97,18,0
1624,1569,18420,544,70,12,0
1625,19658,5220,1176,98,11,1
1627,3069,10302,170,76,15,1
1628,10435,25800,884,80,13,2
1630,4148,12250,208,52,12,1
1631,5768,26493,671,85,17,3
1633,5042,3140,711,81,13,0
1635,5770,5388,1329,59,19,2
1638,7756,14199,397,54,19,1
1639,10306,21530,737,55,17,0
1640,3936,9953,1470,71,11,1
1641,7945,19948,448,84,15,0
1642,5743,10503,602,37,11,0
1644,15202,5602,365,89,25,1
1645,5440,22098,763,59,14,2
1646,3760,17218,567,32,13,0
1647,3517,22490,486,86,17,0
1648,2580,6297,591,87,13,0
1649,2166,3339,1329,73,14,0
1650,5869,23413,469,42,11,0
1651,8008,22792,711,42,12,2
1653,5206,4973,772,77,17,2
1654,5295,7693,492,66,21,0
1655,16413,3498,301,72,16,2
1656,13269,21981,813,50,15,3
1657,2783,13251,1141,31,19,0
1658,5433,19332,1130,66,12,1
1659,2013,10950,311,77,11,0
1661,13966,11652,465,41,19,1
1662,4374,15411,894,33,15,0
1664,6842,26308,1040,79,20,1
1665,17426,18685,584,91,25,1
1666,17603,3525,1291,65,24,1
1667,4581,10414,880,36,24,0
1668,4735,9867,1189,90,15,2
1669,4187,3356,991,43,13,1
1670,5505,3921,392,93,14,2
1671,5470,25518,977,45,13,2
1673,5476,22589,1112,67,11,2
1674,2587,24941,464,74,16,1
1675,2440,23826,148,42,22,0
1676,15972,21086,1225,47,14,3
1677,15379,22384,809,36,14,0
1678,7082,11591,1206,80,16,0
1680,2728,21082,727,54,11,0
1681,5368,16130,530,36,25,1
1682,5347,7419,1351,80,14,2
1683,3195,4167,528,44,18,3
1684,3989,20586,1320,93,11,0
1687,3306,26176,1495,87,19,1
1689,7005,3458,1395,48,15,0
1691,2655,11740,708,95,11,2
1692,1393,24852,1259,95,12,0
1693,2570,11925,786,76,20,0
1694,3537,23737,1441,94,12,1
1696,3986,11912,1157,57,14,1
1697,10883,20467,370,92,20,1
1698,2028,13637,267,79,18,3
1700,9525,7677,1278,31,14,2
1701,2929,20338,678,35,12,0
1702,2275,25103,427,99,21,1
1703,7879,14810,921,96,19,1
1704,4930,13970,146,79,14,0
1706,7847,6069,1179,73,17,1
1707,4401,17616,581,62,16,1
1708,9241,15869,918,35,12,0
1709,2974,25412,1082,43,17,1
1710,4502,7439,530,51,15,0
1712,10748,3395,1238,74,23,1
1714,1555,11585,240,58,11,1
1716,12936,24164,1093,82,11,0
1718,2305,6217,390,62,15,3
1719,16704,17119,1005,48,11,0
1720,3433,17360,585,56,13,1
1721,3477,18103,741,69,14,1
1722,6430,20794,552,60,19,1
1724,6516,5041,369,92,16,1
1725,3907,3622,506,91,13,3
1727,5562,9697,717,34,14,0
1728,6883,5151,1370,49,16,1
1729,2862,3811,793,33,12,1
1731,4978,3536,543,87,11,1
1732,10368,5596,1277,74,12,1
1733,6134,8658,1456,96,13,3
1734,6735,12147,964,34,15,0
1735,3295,12862,160,51,13,0
1736,5238,6670,163,30,20,0
1737,6472,8989,792,77,15,1
1739,9610,3840,371,80,13,1
1740,19833,4349,611,88,14,0
1744,9756,6595,176,56,21,2
1745,4968,26427,1312,78,16,0
1746,2145,2097,897,59,14,1
1747,2180,9732,600,66,11,1
1749,8346,20943,1003,51,19,1
1751,3445,6152,1054,67,11,0
1752,2760,14630,428,52,13,0
1753,6294,23060,461,70,12,0
1754,7140,3088,979,94,11,1
1755,2932,5586,181,97,14,3
1756,5147,10697,1283,62,15,0
1757,4507,8191,1313,80,12,0
1758,8564,10092,211,74,20,0
1760,2468,15963,594,75,14,1
1761,8161,19002,1079,70,13,3
1762,2109,10007,590,91,13,1
1763,5294,9128,305,58,16,1
1764,2718,17674,953,65,14,0
1766,5811,24539,833,60,16,1
1767,2437,15587,807,38,16,1
1768,2766,8952,855,57,22,3
1770,19038,19805,478,60,12,3
1771,3055,6194,775,90,15,2
1772,2289,20520,548,94,20,2
1774,4001,12313,1375,87,14,1
1775,12965,22308,661,60,20,3
1778,3539,5033,244,97,13,0
1779,6029,25353,511,32,12,0
1780,2679,4567,337,31,13,0
1782,3702,16376,1153,40,11,1
1783,2398,15999,1294,79,17,0
1784,5468,13402,196,91,14,2
1786,13116,22984,942,53,11,0
1787,4189,8800,589,46,14,2
1789,19328,14218,734,46,17,1
1790,8321,25949,1383,90,13,1
1792,2342,11092,429,99,12,3
1794,4071,12832,1239,89,13,0
1797,5813,13492,303,84,18,0
1798,3143,6076,867,90,19,1
1799,2044,5531,1181,82,11,1
1800,13464,7914,1253,65,21,0
1801,7991,25166,849,98,15,0
1802,3377,25605,616,99,17,1
1803,5538,5696,1128,95,18,2
1804,5762,24442,1180,90,14,1
1805,2592,7129,1336,100,13,3
1807,5346,6208,234,93,17,1
1809,4213,4992,370,58,15,0
1812,4127,19188,766,83,18,1
1813,2438,24978,343,52,13,0
1814,6870,15530,447,85,12,0
1815,10447,26458,796,81,13,1
1816,9667,2739,1092,64,14,0
1818,2148,6889,920,69,11,0
1821,8926,10842,261,66,22,1
1822,6513,9060,1194,52,17,1
1823,6799,22128,810,92,21,2
1824,16291,22577,350,52,22,1
1826,2705,9696,185,91,16,1
1827,10333,19271,1001,92,12,1
1829,4448,10748,750,47,12,1
1830,6854,15696,431,68,15,1
1833,9637,8277,1125,68,14,2
1834,3591,12719,1217,67,25,1
1835,5405,4244,723,77,20,2
1836,4684,9125,572,46,13,0
1837,15787,21624,1216,87,14,0
1839,1514,8018,1431,33,16,0
1842,2956,21495,359,89,17,0
1844,2335,3157,350,56,15,3
1845,5154,19665,589,67,22,2
1847,6962,19573,430,73,22,1
1849,5675,19246,1422,92,20,1
1850,2379,19826,1297,53,14,0
1852,3812,7003,574,40,13,0
1853,4648,26075,1318,79,13,0
1854,2936,6161,355,38,22,2
1856,2105,5411,207,64,12,0
1857,8578,19989,706,82,14,1
1858,2706,10494,280,43,15,1
1859,6384,21143,726,93,17,2
1860,3968,13624,1142,81,13,0
1862,9907,26186,414,82,12,0
1863,13225,7739,1319,45,12,1
1864,3540,7018,728,36,21,1
1865,2804,15434,352,87,11,0
1866,19392,22539,823,81,13,0
1867,19665,13583,1224,91,12,0
1868,2439,14753,459,73,24,0
1869,7314,14011,1254,64,21,3
1870,4774,23844,1131,77,19,1
1871,3902,5141,835,41,14,3
1873,2662,7975,836,98,20,1
1875,2856,3692,1172,78,19,1
1876,1081,16019,945,89,13,0
1878,2472,26092,391,75,23,0
1880,5673,6060,1266,63,13,1
1881,4197,18624,311,89,11,1
1882,9713,24444,1480,64,13,3
1883,2062,19384,592,59,14,0
1885,4284,13588,783,78,22,1
1886,4788,25388,219,44,11,0
1888,5906,23888,556,93,13,2
1890,3886,4223,1213,94,21,0
1892,16823,18991,1137,98,11,1
1893,2933,14908,482,90,13,1
1898,6500,26997,511,89,14,0
1900,17174,2437,117,58,11,1
1903,5033,9364,170,78,15,1
1905,2307,14460,967,85,23,1
1907,2587,10261,1162,97,16,0
1908,5507,16822,335,33,16,2
1909,4393,26841,337,54,21,1
1911,13348,14842,1396,83,13,1
1912,6583,20115,1079,86,11,1
1915,8103,16495,735,75,12,0
1916,3978,16031,471,62,12,1
1918,2544,7102,1096,61,18,1
1922,5399,14511,1297,44,12,0
1924,5487,10410,217,43,14,0
1927,6834,19255,783,42,12,1
1928,1091,10642,746,45,17,0
1929,5736,3987,1251,32,19,1
1931,2226,6073,1354,41,11,1
1932,5747,26496,735,86,15,0
1933,9854,23352,1475,84,11,0
1934,5467,2125,1169,64,18,1
1935,5380,20328,1443,89,16,1
1936,5151,12315,867,87,25,1
1937,2133,18115,1394,58,16,1
1938,17875,11761,605,72,13,1
1939,2432,15318,238,47,14,0
1940,4771,14293,1206,71,19,2
1941,19161,13738,1064,42,15,0
1943,5087,2900,419,77,12,2
1944,2863,19555,1337,58,12,0
1945,5561,15975,682,71,16,1
1947,2144,2122,1103,49,14,0
1948,3065,3995,976,48,13,1
1949,2810,9238,1351,66,22,0
1950,9888,6770,937,32,21,0
1951,8628,22914,1239,39,18,1
1952,2867,20006,157,95,13,0
1954,5373,6225,136,89,12,1
1955,6667,16542,1146,34,18,1
1956,5003,5771,1125,48,21,0
1960,2367,18779,1404,32,12,1
1961,2858,11473,1404,59,14,0
1962,5204,13586,1224,55,11,0
1965,4105,5099,954,44,14,0
1966,9679,10138,1373,56,24,0
1967,5617,21075,754,63,11,0
1968,10448,5843,1168,66,13,0
1969,2897,22474,155,67,11,2
1970,5968,18079,1303,36,20,3
1971,7510,16873,574,30,17,1
1972,2991,5224,1444,88,11,1
1973,19636,25811,189,71,18,1
1974,1129,17536,1276,59,11,3
1975,13341,25098,119,77,12,0
1976,4332,14811,335,37,12,0
1979,11031,26862,697,40,20,1
1980,4440,25198,157,77,19,0
1981,4617,14120,771,45,12,0
1982,2647,13672,571,78,13,0
1985,6323,26849,692,73,11,1
1986,5677,4258,444,92,14,1
1987,2187,19655,309,82,14,0
1989,3748,4077,911,76,13,0
1992,3977,7298,977,57,19,1
1993,8633,13084,1180,84,23,0
1994,2008,20439,1313,59,12,3
1995,4440,7636,1321,86,15,2
1996,3067,6393,1154,54,19,1
1997,5321,14284,508,72,11,1
1998,5410,11189,557,35,17,1
1999,2782,21412,642,76,22,1
2000,11957,17231,1162,98,18,2
2003,2660,20232,1490,43,11,1
2007,3375,17624,581,63,12,0
2008,5098,18698,1395,48,19,0
2009,4878,21653,501,95,13,1
2010,2837,15919,267,49,13,0
2012,2406,4060,543,83,19,2
2013,2269,18024,234,68,14,1
2014,4108,5340,116,52,13,0
2015,13206,3376,201,99,12,1
2016,10422,24032,801,48,19,2
2017,13744,15471,161,42,25,1
2018,4907,13684,1382,85,22,1
2019,3482,19788,585,40,15,2
2020,2436,13422,1037,42,12,0
2021,2380,25479,501,58,11,0
2022,19431,15302,105,87,13,0
2023,1790,26956,638,33,19,1
2024,7644,12695,557,94,19,2
2025,5131,9192,688,97,13,3
2026,6306,26236,667,57,21,1
2027,4787,26124,1092,36,14,3
2031,18880,17312,300,56,11,0
2032,2339,3666,310,72,11,1
2034,13570,5640,582,60,23,1
2035,6712,8978,704,95,21,2
2036,5406,10436,301,88,24,1
2037,8938,12227,930,57,11,1
2038,2439,11288,529,78,14,0
2040,8837,16642,1146,31,16,0
2041,5343,5982,345,100,11,1
2044,6728,14255,878,94,12,2
2045,6652,14369,1120,100,13,1
2046,4850,23333,374,50,15,0
2048,2809,2725,1322,52,14,0
2049,5689,24594,1199,80,14,2
2051,2001,12549,1194,98,14,3
2052,2977,8952,287,62,12,1
2053,4025,23679,1378,46,13,1
2054,3785,8489,468,73,14,0
2055,10854,16586,410,39,13,1
2056,12031,8828,722,60,11,1
2057,9936,3787,325,74,19,0
2060,2966,21378,1167,30,18,0
2061,2571,12290,884,41,17,1
2062,9991,21457,613,42,15,1
2064,6142,5174,155,87,20,1
2065,5390,13243,1023,63,14,0
2068,4404,10228,628,82,12,0
