EmployeeNumber,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
1056,4,1,1,0,0,0,1,5
1060,3,8,2,2,2,2,3,2
1061,3,29,8,1,7,7,2,2
1062,3,8,4,3,0,1,3,3
1066,3,8,7,7,7,5,1,3
1068,3,5,5,3,1,3,1,5
1069,3,23,2,2,2,2,9,0
1070,3,13,9,4,7,0,6,4
1071,3,18,5,4,0,3,2,4
1073,3,15,14,8,7,8,0,2
1074,3,31,9,7,6,2,7,3
1076,3,18,1,0,0,0,5,5
1077,3,2,2,2,0,2,1,3
1079,3,1,1,0,1,0,1,6
1080,4,19,16,13,1,7,8,2
1081,3,18,10,0,2,7,9,2
1082,3,10,10,7,1,9,1,2
1083,3,6,5,3,1,3,1,2
1084,3,7,6,2,0,2,0,1
1085,3,10,10,6,0,8,1,3
1088,3,20,19,9,1,9,0,4
1092,4,14,11,10,11,1,4,6
1094,3,3,3,2,1,2,1,4
1096,3,23,3,2,1,2,3,4
1097,3,10,8,7,1,7,3,4
1098,3,24,20,6,3,6,9,1
1099,3,9,3,2,1,2,4,2
1100,4,9,8,7,4,7,0,2
1101,4,14,13,7,3,8,1,4
1102,3,4,4,2,2,2,1,5
1103,3,7,6,2,0,4,0,1
1105,3,8,1,0,0,0,2,5
1106,3,7,7,7,5,6,1,3
1107,4,1,1,1,0,0,1,0
1108,4,5,2,2,2,2,4,0
1109,3,23,22,6,13,7,0,3
1111,3,1,1,0,0,0,1,2
1113,3,5,0,0,0,0,3,4
1114,3,4,3,2,0,2,0,3
1115,3,6,0,0,0,0,3,2
1116,4,27,5,4,2,1,2,3
1117,3,15,15,10,4,12,1,2
1118,3,18,8,6,4,0,7,4
1119,3,9,8,7,2,7,0,2
1120,4,11,7,5,1,7,4,1
1121,3,10,9,7,1,7,0,3
1124,3,23,12,9,4,9,3,3
1125,3,10,1,0,0,0,7,2
1126,3,18,8,7,0,1,8,1
1127,3,21,18,7,11,5,7,4
1128,3,21,20,7,4,9,1,2
1131,3,2,2,2,2,2,1,6
1132,3,9,5,4,0,3,9,2
1133,4,18,11,9,0,9,2,0
1135,3,3,2,2,2,2,0,4
1136,3,6,5,3,0,4,0,2
1137,3,5,5,2,0,2,1,3
1138,3,22,9,8,2,3,6,3
1140,3,5,3,2,0,2,2,3
1143,3,8,7,5,1,1,0,2
1148,3,16,1,0,0,0,4,3
1150,3,10,10,7,1,2,1,2
1152,3,7,7,6,5,0,1,2
1154,3,3,3,1,0,2,1,2
1156,3,0,0,0,0,0,1,0
1157,3,6,5,2,0,3,0,3
1158,3,6,1,0,0,0,3,4
1160,3,2,2,2,2,2,1,5
1161,3,9,6,2,1,3,7,2
1162,3,4,4,2,2,2,1,0
1163,4,6,6,5,1,3,1,3
1164,3,6,5,4,1,4,1,2
1165,3,11,11,8,3,10,1,3
1166,3,20,18,7,2,13,9,3
1167,3,22,21,9,13,14,0,2
1171,3,9,6,4,1,5,7,3
1172,3,10,8,0,1,7,6,2
1173,4,6,4,3,1,2,8,2
1175,3,1,1,1,0,0,1,4
1177,4,8,8,7,0,7,1,2
1179,3,10,10,3,1,4,1,3
1180,3,16,1,1,0,0,3,3
1182,3,15,7,7,6,4,2,2
1184,4,14,13,9,4,9,0,3
1185,3,2,2,2,2,2,1,2
1188,3,7,4,3,1,3,8,2
1190,3,1,1,0,0,0,1,3
1191,3,28,5,2,4,2,4,2
1192,3,10,10,8,0,8,1,5
1193,4,1,1,1,0,0,1,4
1195,3,7,3,2,0,2,4,2
1196,3,14,14,8,3,11,1,2
1198,3,2,2,2,1,2,1,2
1200,3,6,6,4,0,2,1,4
1201,3,26,7,7,4,7,3,6
1202,3,6,5,4,1,3,0,2
1203,3,1,0,0,0,0,0,5
1204,4,28,26,15,15,9,8,2
1206,3,6,0,0,0,0,2,3
1207,3,5,5,4,1,4,1,2
1210,3,5,1,0,0,0,6,2
1211,3,8,4,3,0,3,8,3
1212,3,5,0,0,0,0,5,2
1215,4,32,2,2,2,2,2,3
1216,3,6,6,5,3,3,1,2
1217,3,25,4,2,0,3,5,2
1218,3,15,7,7,1,7,3,2
1219,3,1,1,0,0,0,1,3
1220,3,10,10,7,0,1,1,3
1221,3,7,7,7,1,7,1,4
1224,3,10,10,7,8,9,1,4
1225,4,20,20,11,13,17,1,3
1226,3,2,2,1,2,2,1,2
1228,3,12,6,3,1,4,2,3
1231,3,10,4,3,0,3,7,3
1233,3,12,11,7,1,9,0,3
1234,4,2,2,2,2,2,1,2
1235,3,10,8,7,0,7,4,2
1237,4,17,7,7,7,7,2,2
1238,3,15,14,10,4,10,0,5
1239,3,7,5,1,1,3,7,2
1240,3,5,4,3,1,1,0,4
1241,4,12,11,9,5,7,0,2
1242,3,20,1,0,0,0,3,6
1243,3,16,13,2,4,12,4,6
1244,3,9,9,7,6,8,1,3
1245,3,33,5,4,1,4,7,2
1246,3,10,10,5,7,7,1,5
1248,4,1,1,1,0,0,1,2
1249,3,3,3,2,1,2,1,5
1250,3,36,10,9,0,9,3,2
1251,3,6,6,5,0,1,1,2
1252,3,10,10,9,1,8,1,2
1254,3,13,6,1,0,5,5,2
1255,3,25,8,7,0,7,3,2
1256,3,23,1,0,0,0,2,2
1257,3,12,11,10,0,7,1,2
1258,3,7,1,0,0,0,5,4
1259,3,5,5,3,0,3,1,2
1260,3,6,6,0,1,0,1,2
1263,3,25,1,0,0,0,6,3
1264,3,9,7,7,1,7,3,2
1265,3,2,1,0,0,0,0,5
1267,3,26,22,9,3,10,7,5
1268,3,10,9,8,0,8,0,3
1269,3,1,1,0,0,1,1,2
1270,4,1,1,0,0,1,1,2
1273,3,1,1,0,1,0,1,4
1275,4,8,8,5,2,2,1,2
1277,3,26,24,10,1,11,2,2
1278,3,34,33,9,15,0,1,3
1279,4,2,2,2,2,2,1,2
1280,3,26,11,4,0,8,2,2
1281,3,4,3,2,0,2,0,3
1282,4,31,29,10,11,10,4,5
1283,3,25,9,7,5,4,6,6
1285,3,15,11,8,5,10,4,2
1286,3,5,4,2,0,2,0,2
1288,3,26,25,9,14,13,1,4
1289,3,14,10,9,1,8,4,5
1291,3,4,3,2,2,2,0,3
1292,3,18,1,0,0,0,6,2
1293,3,23,21,7,15,17,3,3
1294,3,18,16,14,5,12,9,2
1295,3,10,10,7,0,5,1,2
1296,3,2,2,2,2,2,1,2
1297,3,8,7,0,7,7,0,6
1298,3,10,8,4,1,7,7,3
1299,3,10,7,7,7,7,3,2
1301,3,5,3,2,1,2,2,2
1303,3,2,2,2,2,1,1,3
1304,3,10,10,7,0,8,1,4
1306,4,22,0,0,0,0,3,4
1307,3,21,19,9,15,2,6,4
1308,3,2,2,2,2,2,1,3
1309,3,10,10,4,1,1,1,3
1310,3,6,5,2,0,3,0,2
1311,3,10,9,2,6,7,0,6
1312,3,10,7,7,1,7,3,0
1314,3,10,7,6,5,7,6,3
1315,3,10,9,8,7,5,0,6
1317,3,25,3,2,1,2,4,2
1318,3,9,5,4,1,0,2,2
1319,3,10,8,7,7,7,9,2
1321,4,9,9,1,0,8,1,2
1322,3,9,8,7,1,7,0,6
1324,3,10,10,8,9,6,1,5
1329,3,19,19,2,11,9,1,4
1331,3,3,3,2,2,2,1,2
1333,3,10,3,2,1,2,4,4
1334,3,21,20,8,2,10,0,3
1336,3,23,19,9,9,11,4,5
1338,3,36,7,3,7,7,6,4
1340,3,6,4,2,0,0,9,0
1344,3,10,9,7,1,6,0,0
1346,3,9,9,8,8,8,1,4
1349,3,10,9,3,1,7,0,2
1350,3,9,9,6,1,1,1,3
1352,3,33,33,9,0,10,1,2
1355,3,11,7,7,1,7,3,3
1356,3,10,10,8,9,6,1,6
1358,3,7,3,2,1,2,3,6
1360,3,31,10,9,5,9,7,0
1361,4,7,4,2,0,3,3,3
1362,3,17,15,7,6,13,2,2
1363,3,11,10,9,0,8,1,2
1364,3,5,1,0,0,0,8,4
1367,3,29,5,2,0,3,3,1
1368,3,0,0,0,0,0,1,5
1369,3,10,9,7,0,0,0,0
1371,4,8,6,2,0,0,3,3
1372,3,24,19,7,3,8,6,2
1373,3,33,19,16,15,9,4,0
1374,4,5,5,4,0,0,1,2
1375,4,15,12,11,11,8,5,0
1377,3,10,8,7,7,7,4,1
1379,3,3,1,0,0,0,7,3
1380,3,5,4,2,3,2,0,0
1382,3,4,4,2,0,3,1,2
1383,3,14,14,11,4,11,1,2
1387,3,5,5,3,0,4,1,0
1389,3,10,10,2,6,7,1,3
1390,3,8,5,4,1,4,3,2
1391,3,14,4,2,3,2,2,5
1392,3,12,6,2,3,3,3,4
1394,3,8,6,4,1,3,7,2
1395,3,8,5,4,1,2,6,2
1396,3,4,3,2,1,2,0,3
1397,4,13,6,4,0,5,3,2
1399,3,6,3,2,1,2,2,3
1401,3,24,5,3,0,2,2,3
1402,3,20,20,7,1,8,1,3
1403,3,6,6,2,4,4,1,3
1405,3,8,8,2,7,7,1,2
1407,3,5,4,3,1,1,0,2
1408,3,21,20,7,0,9,0,5
1409,3,12,5,4,0,4,9,2
1411,3,8,3,2,0,2,4,6
1412,3,10,2,2,2,2,2,2
1415,3,7,3,2,0,2,4,2
1417,3,8,7,7,0,7,0,2
1419,3,10,10,9,0,9,1,3
1420,4,20,4,3,1,3,3,2
1421,3,9,8,7,7,7,0,1
1422,3,29,20,7,12,7,6,3
1423,4,32,9,8,1,5,3,3
1424,3,31,7,7,0,0,2,4
1425,3,15,5,4,0,1,3,3
1427,3,1,1,0,0,0,1,3
1428,3,8,3,2,0,2,7,3
1430,3,9,3,2,1,0,3,3
1431,3,10,4,3,1,3,5,2
1433,3,1,1,0,0,0,1,3
1434,3,6,5,0,1,4,0,3
1435,3,10,10,4,1,8,1,2
1436,3,11,3,2,0,2,4,3
1438,3,17,6,5,1,2,7,2
1439,3,6,3,2,2,2,3,2
1440,3,7,6,5,1,3,0,2
1441,4,5,3,2,1,0,2,3
1443,3,26,20,17,5,6,3,2
1445,3,5,5,4,0,3,1,3
1446,3,7,4,3,0,3,4,3
1447,3,7,5,4,0,2,5,2
1448,3,7,4,2,0,3,2,5
1449,3,11,8,7,0,7,3,2
1453,3,13,13,7,9,9,1,5
1457,3,28,7,7,4,3,4,1
1458,4,11,1,0,0,0,2,2
1459,3,10,10,8,4,7,1,2
1460,3,24,7,7,0,7,2,2
1461,3,8,3,2,0,2,9,3
1464,3,7,2,2,2,2,6,2
1465,3,10,3,1,1,2,4,4
1466,3,15,2,2,2,2,4,3
1467,3,2,2,2,2,2,1,0
1468,3,16,9,8,4,8,2,5
1469,3,6,5,4,1,3,0,4
1471,3,7,5,2,0,3,3,5
1472,3,35,9,8,8,8,4,2
1473,3,20,3,2,1,2,2,0
1474,3,8,3,1,1,2,2,3
1475,3,6,5,2,1,3,1,3
1477,3,5,4,3,0,3,0,2
1478,3,15,13,9,3,12,3,2
1479,3,4,2,1,2,2,8,2
1480,3,12,12,9,5,8,1,3
1481,3,11,1,0,0,0,7,4
1482,3,1,1,0,0,0,1,2
1483,4,13,12,9,2,8,0,2
1484,3,29,8,7,0,7,3,3
1485,3,16,14,8,6,9,7,3
1486,3,5,3,2,1,2,3,3
1487,3,7,5,3,0,0,5,4
1489,4,16,15,9,10,10,0,2
1492,3,1,1,0,0,0,1,3
1494,3,4,0,0,0,0,2,2
1495,3,1,1,0,0,0,1,2
1496,3,16,2,2,2,2,5,2
1497,3,10,10,7,0,4,1,3
1499,4,6,5,3,1,3,0,3
1501,3,4,3,2,1,2,0,2
1502,3,8,5,4,0,2,8,5
1503,3,11,5,4,1,2,3,4
1504,3,8,0,0,0,0,7,2
1506,3,1,1,0,0,0,1,2
1507,3,5,4,2,1,3,0,5
1509,4,10,3,2,1,2,4,3
1513,3,4,3,2,0,2,0,3
1514,3,8,8,6,1,7,1,2
1515,3,14,0,0,0,0,2,6
1516,4,10,5,2,0,0,2,5
1520,4,26,14,9,1,12,3,2
1522,3,11,9,7,0,7,6,2
1523,3,24,20,6,14,17,3,1
1525,3,9,2,0,2,2,4,3
1527,3,23,13,12,5,1,8,2
1529,3,11,11,8,3,3,1,3
1533,3,5,4,3,1,2,0,2
1534,3,15,5,4,1,0,3,3
1535,3,10,10,9,8,6,1,3
1537,3,7,7,2,7,7,1,2
1539,3,32,32,6,13,9,1,2
1541,4,12,11,10,5,7,0,4
1542,3,4,1,0,0,0,4,3
1543,3,10,10,8,3,7,1,2
1544,3,9,7,7,0,7,3,3
1545,3,5,5,3,0,2,1,2
1546,4,8,5,4,0,3,4,3
1547,3,24,20,8,13,9,2,3
1548,3,9,8,4,7,1,0,5
1549,3,15,15,14,5,7,1,3
1550,4,21,21,7,7,7,1,2
1551,3,2,1,1,0,0,0,3
1552,3,8,2,2,2,2,3,2
1553,3,10,10,8,7,7,1,4
1554,4,6,5,3,4,2,0,5
1555,3,12,7,1,2,5,3,2
1556,4,7,3,2,1,2,3,3
1557,3,18,8,7,7,7,8,2
1558,3,5,1,0,0,0,6,2
1560,3,8,2,2,2,2,2,6
1562,3,10,10,8,6,7,1,4
1563,3,10,6,3,1,2,3,2
1564,3,3,3,0,1,2,1,3
1568,3,9,4,2,1,3,3,3
1569,3,1,1,0,0,0,1,2
1572,3,34,33,7,1,9,0,4
1573,3,7,5,2,1,4,4,2
1574,3,9,6,5,1,2,4,3
1576,3,10,8,2,7,6,8,3
1577,3,1,1,0,0,0,1,4
1578,4,36,36,6,2,13,1,3
1580,3,9,2,2,2,1,9,3
1581,4,1,1,0,0,0,1,5
1582,3,10,9,8,7,7,0,3
1583,3,8,3,2,1,2,2,5
1585,3,15,1,0,0,0,6,5
1586,3,10,10,9,1,5,1,3
1587,3,10,5,2,0,4,3,4
1588,3,11,7,6,7,6,2,3
1590,3,6,6,4,1,3,1,0
1591,3,27,1,0,0,0,4,2
1592,3,4,2,2,2,2,2,2
1594,3,9,3,2,0,2,3,3
1595,4,24,1,0,0,1,8,2
1596,3,10,10,9,6,8,1,3
1597,3,8,8,2,7,7,1,3
1598,3,5,5,4,1,2,1,2
1599,3,8,6,4,0,2,5,0
1601,3,1,1,0,0,1,1,5
1602,3,27,26,0,0,12,1,5
1604,3,1,1,1,0,0,1,3
1605,3,4,4,2,1,3,1,2
1606,3,32,30,8,12,13,2,3
1607,3,6,3,2,0,2,3,3
1608,3,23,22,7,1,10,0,4
1609,3,6,6,4,1,1,1,3
1611,3,10,10,7,1,4,1,3
1612,3,10,10,7,4,5,1,2
1613,3,10,5,2,0,3,7,3
1614,3,7,3,2,1,1,9,2
1615,3,9,9,7,7,2,1,3
1617,3,10,9,6,1,4,1,3
1618,3,10,7,7,7,7,2,3
1619,3,7,7,7,0,7,1,3
1621,3,16,16,15,1,10,1,2
1622,4,6,5,3,0,0,0,5
1623,3,3,2,2,2,2,1,2
1624,3,0,0,0,0,0,1,2
1625,3,27,5,2,1,0,3,2
1627,3,11,10,8,0,7,0,3
1628,3,18,18,15,14,12,1,2
1630,3,15,14,11,2,9,1,5
1631,3,9,4,3,0,2,3,2
1633,3,10,9,2,3,8,0,2
1635,3,10,10,7,3,9,1,3
1638,3,10,5,4,0,2,3,6
1639,3,15,13,12,6,0,9,3
1640,3,8,8,4,7,7,1,2
1641,3,18,4,2,3,3,6,2
1642,3,14,10,7,0,2,4,3
1644,4,23,2,2,2,2,2,3
1645,3,7,2,2,2,2,6,2
1646,3,6,6,3,1,3,1,2
1647,3,5,3,2,0,2,7,0
1648,3,6,4,2,1,2,2,0
1649,3,10,4,2,0,3,3,3
1650,3,8,5,2,1,4,9,2
1651,3,9,3,2,0,2,4,6
1653,3,7,7,7,0,7,1,6
1654,4,7,5,4,1,0,4,3
1655,3,27,4,2,1,2,3,2
1656,3,19,14,11,1,11,5,3
1657,3,2,2,2,2,2,1,3
1658,3,11,11,8,7,9,1,2
1659,3,15,4,3,1,3,2,4
1661,3,30,15,11,2,12,2,3
1662,3,4,3,2,1,2,0,6
1664,4,13,5,4,0,4,6,3
1665,4,36,10,8,4,7,3,6
1666,4,14,14,10,6,11,1,3
1667,4,13,11,9,6,7,3,2
1668,3,19,13,11,2,9,7,4
1669,3,10,10,0,0,9,1,3
1670,3,6,6,2,0,4,1,5
1671,3,10,9,5,1,6,0,4
1673,3,10,10,0,0,2,1,2
1674,3,17,2,2,2,2,4,2
1675,4,4,4,3,3,3,1,3
1676,3,29,3,2,1,2,6,2
1677,3,23,8,7,0,0,4,2
1678,3,21,2,0,0,2,3,2
1680,3,2,2,2,0,2,1,3
1681,4,7,6,5,1,2,1,2
1682,3,10,3,2,0,2,6,2
1683,3,8,2,2,2,2,4,2
1684,3,5,5,4,1,2,1,2
1687,3,7,0,0,0,0,7,5
1689,3,11,4,3,1,2,3,2
1691,3,19,9,7,7,7,2,3
1692,3,1,1,0,0,0,1,2
1693,4,7,7,7,5,7,1,5
1694,3,8,4,2,1,2,5,1
1696,3,15,15,10,4,13,1,3
1697,4,19,1,0,0,0,3,2
1698,3,14,14,11,2,13,1,6
1700,3,6,6,3,1,3,1,2
1701,3,10,10,9,8,7,1,3
1702,4,3,3,2,0,2,1,2
1703,3,9,8,7,6,7,1,2
1704,3,6,5,4,1,4,0,2
1706,3,10,10,9,8,8,1,3
1707,3,5,5,3,0,4,1,1
1708,3,10,10,8,8,7,1,3
1709,3,9,5,3,1,2,9,2
1710,3,17,13,7,6,7,3,2
1712,4,25,23,15,14,4,3,3
1714,3,1,1,0,0,0,1,2
1716,3,25,23,5,14,10,7,3
1718,3,3,3,2,0,2,1,3
1719,3,21,21,6,8,6,1,2
1720,3,10,5,2,1,3,6,3
1721,3,6,5,2,0,3,1,2
1722,3,10,3,2,1,2,6,4
1724,3,18,1,0,0,0,2,3
1725,3,6,6,2,1,2,1,2
1727,3,19,10,7,0,9,6,3
1728,3,17,7,7,0,7,2,3
1729,3,10,10,0,0,8,1,2
1731,3,4,1,0,0,0,7,3
1732,3,13,10,6,0,3,4,5
1733,3,16,2,2,2,2,5,3
1734,3,10,0,0,0,0,6,2
1735,3,3,3,2,1,2,1,3
1736,4,9,5,4,1,4,2,3
1737,3,9,9,8,5,8,1,2
1739,3,10,4,3,0,2,3,2
1740,3,21,21,8,12,8,1,3
1744,4,9,5,0,0,3,4,2
1745,3,10,9,7,0,7,0,2
1746,3,3,2,2,2,1,0,2
1747,3,6,4,2,1,2,6,0
1749,3,6,5,2,0,2,1,3
1751,3,6,6,2,1,4,1,5
1752,3,2,2,2,2,2,1,3
1753,3,10,3,2,0,2,8,5
1754,3,12,7,7,1,7,2,2
1755,3,6,5,0,1,2,0,3
1756,3,13,11,7,1,7,8,2
1757,3,8,5,1,0,4,3,1
1758,4,11,0,0,0,0,2,2
1760,3,9,6,1,0,5,4,4
1761,3,10,1,0,0,0,2,2
1762,3,1,1,0,0,0,1,2
1763,3,10,7,0,1,7,3,3
1764,3,12,7,7,0,7,2,3
1766,3,15,1,0,1,0,3,2
1767,3,6,1,0,0,0,9,4
1768,4,7,5,3,0,4,8,6
1770,3,34,1,0,0,0,8,2
1771,3,11,9,8,1,7,5,2
1772,4,5,5,3,0,4,1,2
1774,3,15,15,14,0,7,1,3
1775,4,27,3,2,0,2,4,2
1778,3,10,9,7,1,8,0,5
1779,3,6,2,2,2,2,5,3
1780,3,1,1,0,1,0,1,3
1782,3,5,5,4,0,4,1,3
1783,3,1,1,0,0,0,1,6
1784,3,13,12,7,5,7,1,3
1786,3,15,2,2,2,2,2,2
1787,3,5,5,2,0,3,1,2
1789,3,24,2,1,2,2,7,3
1790,3,15,12,8,5,7,7,1
1792,3,6,5,3,2,3,1,2
1794,3,19,10,0,4,7,2,4
1797,3,10,10,7,7,7,1,2
1798,3,14,10,8,7,6,6,1
1799,3,5,5,3,0,3,1,6
1800,4,9,4,3,2,2,7,3
1801,3,6,2,2,2,2,8,3
1802,3,7,4,3,0,2,4,5
1803,3,10,0,0,0,0,5,2
1804,3,15,7,7,1,7,2,6
1805,3,13,11,10,3,8,5,3
1807,3,11,7,1,0,7,4,3
1809,3,10,10,3,0,8,1,4
1812,3,7,2,1,2,2,2,6
1813,3,7,3,2,1,2,4,2
1814,3,11,3,2,1,2,3,3
1815,3,23,22,14,13,5,0,3
1816,3,9,7,7,0,2,9,3
1818,3,6,5,1,1,4,0,3
1821,4,13,9,7,3,7,4,2
1822,3,12,5,3,0,3,4,3
1823,4,10,10,8,4,8,1,5
1824,4,37,16,9,14,14,4,0
1826,3,6,5,4,0,3,0,2
1827,3,28,22,11,14,10,8,4
1829,3,15,7,4,7,7,2,3
1830,3,14,7,1,1,7,4,2
1833,3,9,3,2,2,2,2,3
1834,4,3,3,2,1,2,1,3
1835,4,20,4,2,0,3,2,4
1836,3,5,5,3,1,2,1,4
1837,3,23,2,2,2,2,2,3
1839,3,0,0,0,0,0,1,4
1842,3,2,1,0,0,0,0,4
1844,3,4,2,2,2,0,4,3
1845,4,10,8,7,5,7,4,3
1847,4,15,1,0,0,0,4,2
1849,4,7,7,7,7,7,1,5
1850,3,6,5,4,0,2,0,3
1852,3,11,11,8,3,10,1,3
1853,3,4,0,0,0,0,8,2
1854,4,10,6,3,3,3,3,1
1856,3,7,2,2,2,0,4,2
1857,3,12,9,8,4,7,3,4
1858,3,3,3,2,2,2,1,2
1859,3,11,7,0,1,6,8,3
1860,3,8,0,0,0,0,4,3
1862,3,7,2,2,2,2,7,3
1863,3,25,19,17,2,8,2,5
1864,4,9,9,8,5,8,1,5
1865,3,1,1,0,0,0,1,3
1866,3,21,16,12,6,14,7,2
1867,3,29,22,10,12,9,4,3
1868,4,1,1,0,1,0,1,3
1869,4,14,8,7,0,7,5,2
1870,3,8,7,6,7,3,0,2
1871,3,7,2,2,2,2,8,2
1873,4,19,5,2,0,4,8,2
1875,3,1,1,0,0,0,1,3
1876,3,1,1,0,0,0,1,3
1878,4,1,1,0,0,0,1,2
1880,3,10,10,9,1,7,1,4
1881,3,10,10,8,0,2,1,2
1882,3,9,5,3,1,0,2,3
1883,3,11,3,2,1,2,3,2
1885,4,16,5,3,0,4,5,2
1886,3,4,3,2,0,2,0,2
1888,3,10,9,8,3,8,0,2
1890,4,10,10,1,0,8,1,2
1892,3,22,19,7,11,16,2,3
1893,3,1,1,0,1,0,1,3
1898,3,9,8,7,0,7,0,5
1900,3,24,22,17,4,7,3,3
1903,3,10,2,0,2,2,2,5
1905,4,5,5,2,3,0,1,2
1907,3,5,4,2,1,0,1,3
1908,3,12,4,2,1,3,2,1
1909,4,14,5,4,1,4,5,3
1911,3,18,13,7,5,7,9,3
1912,3,8,5,2,1,4,2,2
1915,3,9,4,2,0,1,3,3
1916,3,4,2,2,2,2,8,0
1918,3,8,7,7,7,7,0,3
1922,3,12,4,2,0,3,4,3
1924,3,10,10,4,0,9,1,2
1927,3,7,7,7,0,7,1,2
1928,3,1,1,0,0,0,1,3
1929,3,10,3,2,1,2,6,1
1931,3,6,5,3,1,2,1,3
1932,3,16,15,10,6,11,1,3
1933,3,6,2,0,2,2,3,0
1934,3,16,8,7,1,7,8,4
1935,3,6,0,0,0,0,4,3
1936,4,10,10,0,7,9,1,3
1937,3,20,20,11,0,7,1,3
1938,3,29,1,0,0,0,4,2
1939,3,8,4,1,0,3,3,2
1940,3,10,5,2,0,3,2,0
1941,3,28,5,4,4,3,3,3
1943,3,14,0,0,0,0,3,4
1944,3,1,1,0,0,0,1,2
1945,3,6,5,3,0,4,0,2
1947,3,5,5,3,1,4,1,3
1948,3,4,4,2,2,3,1,3
1949,4,5,5,4,0,2,1,3
1950,4,14,14,8,2,1,1,3
1951,3,9,8,7,1,1,1,2
1952,3,8,7,7,7,6,0,6
1954,3,6,5,3,0,2,0,5
1955,3,9,5,1,1,2,5,6
1956,4,10,10,8,8,7,1,6
1960,3,6,4,1,0,3,5,2
1961,3,20,1,0,0,0,4,3
1962,3,10,10,8,0,9,1,2
1965,3,7,7,7,0,7,1,5
1966,4,8,1,0,0,0,8,1
1967,3,10,10,7,0,8,1,4
1968,3,15,2,2,2,2,6,2
1969,3,9,4,3,2,3,3,6
1970,4,9,9,7,2,8,1,2
1971,3,10,10,9,0,9,1,1
1972,3,7,6,2,1,2,0,2
1973,3,35,10,9,1,4,4,0
1974,3,1,1,0,0,0,1,4
1975,3,21,20,8,11,10,0,3
1976,3,20,20,9,3,7,1,2
1979,4,13,11,7,4,8,4,2
1980,3,9,5,2,1,4,6,3
1981,3,4,4,3,1,2,1,2
1982,3,5,5,2,1,4,1,6
1985,3,10,10,9,9,4,1,2
1986,3,15,11,8,5,10,3,4
1987,3,6,2,0,1,2,4,3
1989,3,12,12,8,1,7,1,6
1992,3,7,2,2,0,2,6,2
1993,4,25,17,14,12,11,2,3
1994,3,1,1,1,0,0,1,2
1995,3,16,15,13,5,8,0,3
1996,3,3,2,2,1,2,0,1
1997,3,10,8,3,7,7,2,1
1998,3,9,4,3,1,2,6,3
1999,4,12,5,3,1,0,3,3
2000,3,14,13,8,5,12,0,3
2003,3,5,2,2,2,2,7,3
2007,3,4,3,2,1,2,0,2
2008,3,10,10,7,0,8,1,5
2009,3,10,9,7,8,1,0,6
2010,3,6,6,2,4,1,1,3
2012,3,8,1,0,0,0,8,3
2013,3,3,2,2,2,2,0,2
2014,3,18,7,7,1,7,7,2
2015,3,20,18,16,1,11,3,3
2016,3,14,14,10,5,7,1,3
2017,4,16,16,11,6,8,1,2
2018,4,6,5,3,0,4,0,3
2019,3,16,9,8,0,0,2,3
2020,3,6,4,3,1,2,6,2
2021,3,2,2,2,1,2,1,6
2022,3,21,6,0,1,3,2,3
2023,3,1,1,0,1,0,1,3
2024,3,10,9,7,3,4,0,2
2025,3,18,4,2,0,2,7,3
2026,4,13,13,12,1,9,1,2
2027,3,4,2,2,2,2,9,3
2031,3,24,22,6,4,14,5,2
2032,3,14,10,9,9,8,8,4
2034,4,21,20,7,0,10,0,3
2035,4,8,8,7,1,7,1,2
2036,4,15,15,12,11,11,1,4
2037,3,14,5,4,0,4,2,5
2038,3,4,4,2,1,2,1,4
2040,3,9,9,0,1,7,1,2
2041,3,10,10,7,1,9,1,1
2044,3,12,6,3,0,1,7,3
2045,3,8,6,3,0,0,4,2
2046,3,8,5,3,0,1,8,3
2048,3,8,2,2,2,2,2,2
2049,3,10,10,2,0,2,1,2
2051,3,20,5,3,0,2,2,2
2052,3,4,4,3,1,1,1,5
2053,3,10,4,3,0,3,4,2
2054,3,5,5,4,0,4,1,3
2055,3,20,3,2,2,0,4,3
2056,3,21,20,9,9,6,0,2
2057,3,10,9,4,1,7,0,2
2060,3,5,4,2,0,0,0,2
2061,3,17,5,2,0,3,4,3
2062,3,9,7,7,1,7,4,5
2064,4,6,6,2,0,3,1,0
2065,3,17,9,6,0,8,2,3
2068,3,6,4,3,1,2,2,3
