EmployeeNumber,Department,JobRole,JobLevel,BusinessTravel,OverTime
667,Sales,Sales Representative,1,Travel_Rarely,No
669,Sales,Sales Representative,1,Travel_Rarely,No
671,Research & Development,Manager,5,Travel_Rarely,Yes
675,Research & Development,Research Scientist,1,Travel_Rarely,No
677,Sales,Sales Executive,2,Travel_Rarely,No
679,Research & Development,Research Scientist,2,Travel_Rarely,Yes
680,Research & Development,Research Scientist,1,Travel_Frequently,No
682,Sales,Sales Executive,2,Travel_Rarely,No
683,Research & Development,Research Scientist,1,Travel_Rarely,No
684,Sales,Sales Executive,2,Travel_Frequently,No
686,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
689,Research & Development,Manufacturing Director,3,Travel_Rarely,No
690,Sales,Sales Executive,2,Travel_Rarely,No
691,Research & Development,Research Scientist,2,Travel_Rarely,No
692,Research & Development,Healthcare Representative,2,Travel_Frequently,No
698,Human Resources,Human Resources,3,Travel_Rarely,No
699,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
700,Research & Development,Research Scientist,1,Travel_Rarely,No
701,Research & Development,Research Scientist,1,Travel_Rarely,Yes
702,Research & Development,Research Scientist,1,Travel_Frequently,Yes
704,Research & Development,Laboratory Technician,1,Non-Travel,No
705,Research & Development,Research Scientist,1,Travel_Rarely,No
707,Sales,Sales Executive,2,Travel_Rarely,No
709,Sales,Sales Executive,2,Travel_Rarely,No
710,Research & Development,Research Scientist,1,Travel_Frequently,No
712,Sales,Sales Executive,2,Travel_Rarely,No
714,Sales,Sales Executive,2,Travel_Frequently,Yes
715,Research & Development,Research Scientist,1,Travel_Rarely,No
716,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
717,Research & Development,Healthcare Representative,3,Travel_Rarely,No
720,Sales,Sales Executive,2,Travel_Rarely,No
721,Research & Development,Healthcare Representative,2,Travel_Rarely,No
722,Sales,Sales Executive,2,Travel_Rarely,No
723,Sales,Sales Executive,2,Travel_Frequently,Yes
724,Research & Development,Healthcare Representative,2,Travel_Rarely,No
725,Research & Development,Manufacturing Director,3,Travel_Rarely,No
727,Research & Development,Research Director,3,Travel_Rarely,No
728,Sales,Sales Executive,2,Travel_Rarely,No
729,Sales,Sales Executive,3,Travel_Frequently,Yes
730,Research & Development,Research Director,4,Travel_Rarely,No
731,Human Resources,Manager,5,Travel_Rarely,No
732,Sales,Sales Executive,2,Travel_Rarely,No
733,Research & Development,Manufacturing Director,3,Travel_Frequently,No
734,Human Resources,Manager,5,Travel_Rarely,No
738,Sales,Sales Representative,1,Travel_Rarely,No
741,Research & Development,Research Scientist,1,Travel_Rarely,Yes
742,Research & Development,Research Director,3,Non-Travel,No
743,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
744,Research & Development,Laboratory Technician,1,Non-Travel,No
746,Sales,Sales Executive,4,Travel_Frequently,Yes
747,Sales,Sales Executive,2,Travel_Rarely,No
749,Sales,Sales Representative,1,Travel_Rarely,No
752,Research & Development,Research Scientist,1,Travel_Frequently,Yes
754,Sales,Sales Executive,2,Travel_Frequently,No
757,Research & Development,Healthcare Representative,2,Travel_Rarely,No
758,Research & Development,Laboratory Technician,1,Travel_Rarely,No
760,Human Resources,Human Resources,2,Travel_Rarely,No
762,Research & Development,Healthcare Representative,4,Travel_Rarely,No
763,Research & Development,Research Scientist,1,Travel_Rarely,Yes
764,Research & Development,Healthcare Representative,2,Travel_Rarely,No
766,Sales,Sales Representative,1,Travel_Rarely,No
769,Research & Development,Laboratory Technician,2,Travel_Rarely,No
771,Research & Development,Healthcare Representative,2,Non-Travel,No
772,Research & Development,Laboratory Technician,2,Travel_Frequently,No
773,Research & Development,Research Scientist,1,Travel_Rarely,Yes
775,Research & Development,Manufacturing Director,2,Travel_Rarely,No
776,Sales,Manager,4,Travel_Rarely,No
780,Research & Development,Research Scientist,1,Travel_Rarely,Yes
781,Sales,Sales Executive,2,Travel_Rarely,No
783,Sales,Sales Representative,2,Travel_Rarely,No
784,Research & Development,Research Scientist,1,Travel_Rarely,No
785,Sales,Sales Executive,2,Travel_Frequently,Yes
786,Sales,Sales Executive,2,Travel_Rarely,No
787,Research & Development,Manager,5,Travel_Rarely,Yes
789,Sales,Sales Executive,3,Non-Travel,No
791,Research & Development,Research Scientist,1,Non-Travel,No
792,Research & Development,Laboratory Technician,1,Travel_Frequently,No
793,Research & Development,Healthcare Representative,2,Travel_Rarely,No
796,Sales,Sales Executive,2,Travel_Rarely,No
797,Research & Development,Research Scientist,1,Travel_Rarely,No
799,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
800,Sales,Sales Executive,2,Travel_Frequently,No
802,Research & Development,Research Scientist,1,Travel_Rarely,Yes
803,Research & Development,Manufacturing Director,2,Travel_Frequently,Yes
804,Research & Development,Research Scientist,1,Travel_Rarely,No
805,Sales,Sales Representative,1,Travel_Rarely,No
806,Research & Development,Laboratory Technician,1,Travel_Rarely,No
807,Research & Development,Healthcare Representative,2,Travel_Frequently,No
808,Sales,Sales Executive,2,Travel_Rarely,No
809,Research & Development,Manager,5,Travel_Frequently,No
811,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
812,Research & Development,Laboratory Technician,1,Non-Travel,No
813,Research & Development,Laboratory Technician,2,Travel_Rarely,No
815,Research & Development,Research Director,4,Travel_Rarely,No
816,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
817,Research & Development,Research Director,3,Travel_Rarely,No
819,Sales,Sales Executive,2,Travel_Rarely,No
820,Research & Development,Manager,4,Travel_Rarely,Yes
823,Research & Development,Manufacturing Director,2,Travel_Rarely,No
824,Research & Development,Research Scientist,1,Travel_Rarely,No
825,Research & Development,Research Director,5,Travel_Rarely,Yes
826,Research & Development,Research Scientist,1,Travel_Rarely,No
827,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
828,Research & Development,Research Scientist,1,Travel_Rarely,No
829,Human Resources,Human Resources,1,Travel_Rarely,No
830,Research & Development,Manufacturing Director,2,Travel_Rarely,No
832,Research & Development,Laboratory Technician,2,Travel_Frequently,No
833,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
834,Research & Development,Research Scientist,1,Travel_Rarely,No
836,Research & Development,Manufacturing Director,2,Travel_Rarely,No
837,Research & Development,Healthcare Representative,2,Travel_Frequently,No
838,Research & Development,Research Scientist,1,Travel_Frequently,No
840,Sales,Sales Executive,3,Travel_Rarely,No
842,Sales,Sales Executive,2,Travel_Rarely,No
843,Research & Development,Research Director,4,Travel_Rarely,No
844,Research & Development,Research Director,3,Travel_Rarely,Yes
845,Research & Development,Manufacturing Director,3,Travel_Rarely,No
846,Sales,Sales Executive,2,Travel_Rarely,Yes
847,Human Resources,Human Resources,1,Travel_Rarely,No
848,Research & Development,Research Scientist,1,Travel_Frequently,Yes
850,Research & Development,Research Scientist,1,Non-Travel,No
851,Sales,Manager,4,Travel_Rarely,No
852,Research & Development,Healthcare Representative,2,Travel_Rarely,No
854,Research & Development,Research Scientist,1,Travel_Rarely,No
855,Sales,Sales Executive,2,Travel_Rarely,No
856,Research & Development,Research Scientist,1,Travel_Rarely,No
857,Sales,Sales Executive,2,Travel_Rarely,Yes
859,Sales,Sales Executive,2,Travel_Rarely,No
861,Research & Development,Research Scientist,1,Travel_Frequently,No
862,Sales,Sales Executive,3,Travel_Rarely,Yes
864,Sales,Sales Executive,3,Travel_Rarely,Yes
865,Research & Development,Research Scientist,2,Travel_Rarely,No
867,Research & Development,Manufacturing Director,4,Travel_Frequently,No
868,Sales,Sales Executive,2,Travel_Rarely,No
869,Human Resources,Human Resources,1,Travel_Rarely,No
872,Research & Development,Manufacturing Director,2,Travel_Rarely,No
874,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
875,Research & Development,Research Scientist,1,Travel_Frequently,Yes
878,Human Resources,Human Resources,1,Travel_Rarely,No
879,Sales,Sales Executive,2,Travel_Rarely,Yes
880,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
881,Research & Development,Research Scientist,1,Travel_Frequently,Yes
882,Research & Development,Laboratory Technician,1,Non-Travel,No
885,Sales,Sales Executive,2,Travel_Rarely,No
887,Research & Development,Research Scientist,1,Travel_Rarely,No
888,Research & Development,Laboratory Technician,1,Non-Travel,No
889,Sales,Sales Executive,2,Travel_Frequently,No
893,Sales,Sales Representative,1,Travel_Rarely,No
894,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes
895,Research & Development,Research Scientist,1,Travel_Rarely,Yes
896,Sales,Sales Representative,1,Travel_Rarely,Yes
897,Sales,Sales Executive,4,Travel_Rarely,No
899,Research & Development,Manufacturing Director,3,Travel_Rarely,No
900,Sales,Sales Representative,1,Travel_Frequently,No
901,Research & Development,Research Director,4,Travel_Rarely,No
902,Research & Development,Healthcare Representative,2,Travel_Frequently,No
903,Sales,Sales Executive,2,Travel_Rarely,Yes
904,Sales,Sales Executive,3,Non-Travel,Yes
905,Research & Development,Manager,4,Non-Travel,No
909,Human Resources,Human Resources,2,Travel_Rarely,No
910,Human Resources,Human Resources,1,Travel_Rarely,Yes
911,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
912,Research & Development,Laboratory Technician,1,Travel_Rarely,No
913,Research & Development,Research Scientist,1,Travel_Rarely,Yes
916,Sales,Sales Executive,2,Travel_Rarely,No
918,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
920,Research & Development,Manufacturing Director,2,Travel_Rarely,No
922,Sales,Sales Representative,1,Travel_Rarely,No
923,Research & Development,Research Scientist,1,Travel_Rarely,No
924,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
925,Sales,Sales Representative,1,Travel_Rarely,Yes
926,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
927,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
930,Research & Development,Research Scientist,1,Travel_Rarely,No
932,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
933,Research & Development,Research Scientist,1,Travel_Rarely,No
934,Research & Development,Laboratory Technician,1,Travel_Rarely,No
936,Sales,Sales Executive,2,Travel_Rarely,No
939,Research & Development,Research Scientist,1,Travel_Rarely,Yes
940,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes
941,Sales,Sales Representative,1,Travel_Rarely,No
942,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
944,Research & Development,Laboratory Technician,3,Travel_Rarely,No
945,Research & Development,Research Scientist,1,Travel_Rarely,No
947,Sales,Sales Executive,2,Non-Travel,No
949,Research & Development,Research Scientist,1,Travel_Rarely,No
950,Research & Development,Research Director,3,Travel_Rarely,No
951,Research & Development,Laboratory Technician,1,Non-Travel,No
952,Sales,Sales Representative,1,Travel_Rarely,Yes
954,Sales,Sales Executive,3,Travel_Rarely,No
956,Sales,Sales Executive,2,Travel_Frequently,No
957,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
958,Research & Development,Laboratory Technician,1,Travel_Rarely,No
959,Sales,Sales Representative,1,Travel_Rarely,Yes
960,Research & Development,Laboratory Technician,1,Travel_Rarely,No
961,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
964,Research & Development,Research Scientist,1,Travel_Frequently,Yes
966,Research & Development,Manufacturing Director,2,Travel_Rarely,No
967,Sales,Sales Executive,3,Travel_Rarely,Yes
969,Research & Development,Healthcare Representative,2,Travel_Rarely,No
970,Sales,Sales Executive,3,Travel_Rarely,No
972,Research & Development,Laboratory Technician,2,Non-Travel,No
974,Sales,Sales Representative,1,Travel_Frequently,No
975,Sales,Sales Executive,2,Travel_Rarely,No
976,Research & Development,Manager,4,Travel_Rarely,No
977,Research & Development,Research Scientist,1,Travel_Rarely,No
981,Sales,Manager,4,Travel_Rarely,No
982,Sales,Sales Executive,3,Travel_Rarely,No
983,Sales,Sales Executive,2,Non-Travel,Yes
984,Sales,Sales Executive,3,Travel_Rarely,No
985,Sales,Sales Executive,3,Travel_Rarely,No
986,Sales,Sales Executive,4,Non-Travel,Yes
987,Research & Development,Manufacturing Director,2,Travel_Frequently,Yes
990,Sales,Sales Executive,2,Non-Travel,No
991,Research & Development,Research Scientist,1,Non-Travel,Yes
992,Sales,Manager,4,Non-Travel,No
994,Research & Development,Research Scientist,1,Travel_Rarely,Yes
995,Research & Development,Research Scientist,1,Travel_Rarely,No
996,Research & Development,Laboratory Technician,1,Travel_Rarely,No
997,Research & Development,Research Director,4,Travel_Rarely,No
998,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes
999,Research & Development,Research Director,5,Travel_Frequently,No
1001,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1002,Research & Development,Laboratory Technician,2,Non-Travel,Yes
1003,Sales,Sales Executive,2,Travel_Rarely,Yes
1004,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1005,Research & Development,Manufacturing Director,4,Travel_Rarely,Yes
1006,Research & Development,Research Scientist,1,Travel_Frequently,No
1007,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1009,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1010,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
1011,Research & Development,Manufacturing Director,2,Travel_Frequently,No
1012,Research & Development,Research Scientist,1,Non-Travel,No
1013,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1014,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes
1015,Research & Development,Research Director,3,Travel_Rarely,Yes
1016,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1017,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1018,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1019,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1022,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1024,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1025,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1026,Research & Development,Manufacturing Director,4,Travel_Rarely,No
1027,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1028,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1029,Sales,Manager,5,Travel_Rarely,No
1030,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1032,Research & Development,Manufacturing Director,4,Travel_Rarely,Yes
1033,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1034,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes
1035,Research & Development,Research Director,5,Non-Travel,No
1036,Sales,Sales Executive,2,Travel_Rarely,Yes
1037,Sales,Sales Executive,2,Non-Travel,No
1038,Sales,Manager,5,Travel_Rarely,No
1039,Sales,Sales Executive,4,Travel_Rarely,Yes
1040,Sales,Sales Executive,2,Non-Travel,No
1042,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1043,Research & Development,Manufacturing Director,3,Travel_Frequently,Yes
1044,Sales,Sales Representative,1,Non-Travel,No
1045,Sales,Manager,4,Travel_Rarely,No
1046,Research & Development,Laboratory Technician,1,Non-Travel,No
1047,Sales,Sales Executive,2,Travel_Rarely,No
1048,Sales,Manager,3,Travel_Rarely,Yes
1049,Human Resources,Human Resources,1,Travel_Rarely,No
1050,Sales,Sales Executive,3,Travel_Frequently,No
1052,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1053,Research & Development,Research Scientist,1,Travel_Frequently,Yes
1055,Sales,Sales Representative,1,Travel_Rarely,Yes
1056,Sales,Sales Representative,1,Travel_Rarely,No
1060,Research & Development,Research Scientist,1,Travel_Frequently,No
1061,Research & Development,Research Director,5,Travel_Rarely,Yes
1062,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1066,Sales,Sales Executive,2,Travel_Rarely,No
1068,Research & Development,Research Scientist,1,Travel_Frequently,No
1069,Research & Development,Research Director,5,Travel_Rarely,No
1070,Sales,Sales Executive,3,Travel_Rarely,No
1071,Research & Development,Research Scientist,1,Travel_Frequently,No
1073,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1074,Research & Development,Manager,4,Non-Travel,No
1076,Sales,Sales Executive,3,Travel_Rarely,No
1077,Sales,Sales Representative,1,Travel_Frequently,Yes
1079,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1080,Research & Development,Research Scientist,2,Travel_Rarely,Yes
1081,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1082,Research & Development,Healthcare Representative,3,Non-Travel,No
1083,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1084,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1085,Research & Development,Research Scientist,1,Travel_Rarely,No
1088,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1092,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1094,Research & Development,Laboratory Technician,1,Non-Travel,No
1096,Research & Development,Manufacturing Director,3,Travel_Frequently,No
1097,Research & Development,Research Scientist,2,Travel_Rarely,No
1098,Human Resources,Human Resources,3,Travel_Rarely,No
1099,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1100,Sales,Sales Executive,3,Travel_Rarely,Yes
1101,Research & Development,Research Scientist,2,Travel_Frequently,No
1102,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1103,Research & Development,Healthcare Representative,2,Travel_Frequently,No
1105,Sales,Sales Executive,2,Travel_Rarely,Yes
1106,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
1107,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1108,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1109,Research & Development,Manager,4,Travel_Rarely,No
1111,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1113,Sales,Sales Executive,2,Travel_Frequently,Yes
1114,Sales,Sales Executive,2,Travel_Frequently,No
1115,Research & Development,Research Scientist,1,Non-Travel,No
1116,Research & Development,Manager,4,Non-Travel,No
1117,Sales,Sales Executive,2,Non-Travel,No
1118,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1119,Sales,Sales Executive,3,Travel_Rarely,Yes
1120,Research & Development,Research Scientist,1,Travel_Rarely,No
1121,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1124,Sales,Manager,4,Travel_Rarely,No
1125,Sales,Sales Executive,3,Travel_Rarely,No
1126,Research & Development,Manufacturing Director,3,Travel_Frequently,No
1127,Research & Development,Healthcare Representative,4,Travel_Frequently,No
1128,Research & Development,Research Director,5,Travel_Rarely,No
1131,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1132,Research & Development,Laboratory Technician,2,Non-Travel,No
1133,Research & Development,Manufacturing Director,2,Non-Travel,No
1135,Sales,Sales Representative,1,Travel_Frequently,No
1136,Research & Development,Research Scientist,1,Travel_Rarely,No
1137,Sales,Sales Executive,2,Travel_Frequently,No
1138,Sales,Sales Executive,4,Travel_Rarely,No
1140,Research & Development,Manufacturing Director,2,Travel_Frequently,No
1143,Research & Development,Research Scientist,1,Travel_Frequently,No
1148,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1150,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
1152,Human Resources,Human Resources,1,Travel_Rarely,No
1154,Research & Development,Research Scientist,1,Travel_Frequently,Yes
1156,Research & Development,Laboratory Technician,1,Non-Travel,No
1157,Sales,Sales Executive,2,Travel_Rarely,Yes
1158,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
1160,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1161,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1162,Research & Development,Research Scientist,1,Travel_Rarely,No
1163,Sales,Sales Executive,2,Travel_Rarely,No
1164,Human Resources,Human Resources,1,Travel_Rarely,No
1165,Sales,Sales Executive,3,Travel_Rarely,No
1166,Research & Development,Research Director,3,Travel_Frequently,No
1167,Sales,Sales Executive,4,Travel_Frequently,Yes
1171,Sales,Sales Executive,2,Travel_Rarely,No
1172,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1173,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1175,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
1177,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1179,Sales,Sales Executive,2,Travel_Rarely,No
1180,Research & Development,Research Scientist,2,Travel_Frequently,Yes
1182,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1184,Research & Development,Healthcare Representative,2,Travel_Frequently,No
1185,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1188,Sales,Sales Executive,2,Travel_Rarely,No
1190,Sales,Sales Representative,1,Non-Travel,No
1191,Research & Development,Manager,5,Travel_Rarely,No
1192,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1193,Research & Development,Research Scientist,1,Travel_Rarely,No
1195,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1196,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1198,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1200,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1201,Research & Development,Manager,5,Travel_Rarely,No
1202,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1203,Research & Development,Research Scientist,1,Travel_Frequently,Yes
1204,Sales,Manager,4,Travel_Rarely,No
1206,Research & Development,Research Scientist,1,Non-Travel,No
1207,Human Resources,Human Resources,1,Travel_Rarely,No
1210,Research & Development,Research Scientist,1,Non-Travel,No
1211,Sales,Sales Executive,2,Travel_Rarely,No
1212,Sales,Sales Executive,2,Travel_Frequently,No
1215,Research & Development,Manager,4,Travel_Frequently,No
1216,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1217,Research & Development,Research Director,5,Travel_Rarely,No
1218,Sales,Sales Executive,2,Travel_Rarely,Yes
1219,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1220,Sales,Sales Executive,2,Travel_Frequently,No
1221,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1224,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1225,Research & Development,Research Scientist,2,Travel_Rarely,No
1226,Sales,Sales Representative,1,Travel_Rarely,No
1228,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1231,Human Resources,Human Resources,2,Non-Travel,No
1233,Sales,Sales Executive,2,Travel_Rarely,Yes
1234,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1235,Research & Development,Research Scientist,2,Travel_Frequently,Yes
1237,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
1238,Research & Development,Research Scientist,1,Travel_Rarely,No
1239,Sales,Sales Executive,2,Travel_Rarely,No
1240,Sales,Sales Executive,2,Travel_Rarely,No
1241,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1242,Research & Development,Research Director,3,Travel_Frequently,Yes
1243,Sales,Sales Executive,3,Non-Travel,Yes
1244,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1245,Research & Development,Manufacturing Director,3,Travel_Frequently,No
1246,Research & Development,Research Scientist,1,Travel_Rarely,No
1248,Research & Development,Research Scientist,1,Non-Travel,Yes
1249,Research & Development,Research Scientist,1,Travel_Rarely,No
1250,Research & Development,Research Director,4,Travel_Rarely,No
1251,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
1252,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1254,Sales,Sales Executive,2,Travel_Rarely,No
1255,Research & Development,Research Director,5,Travel_Rarely,No
1256,Research & Development,Manager,5,Travel_Rarely,No
1257,Research & Development,Research Scientist,1,Travel_Frequently,No
1258,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1259,Research & Development,Research Scientist,1,Travel_Rarely,No
1260,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
1263,Research & Development,Research Director,5,Travel_Rarely,No
1264,Research & Development,Research Director,4,Travel_Rarely,No
1265,Research & Development,Research Scientist,1,Travel_Rarely,No
1267,Sales,Manager,5,Travel_Rarely,No
1268,Sales,Sales Executive,3,Travel_Rarely,Yes
1269,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1270,Research & Development,Research Scientist,1,Travel_Rarely,No
1273,Sales,Sales Representative,1,Travel_Frequently,Yes
1275,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1277,Sales,Manager,5,Travel_Rarely,Yes
1278,Research & Development,Healthcare Representative,4,Non-Travel,Yes
1279,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1280,Sales,Manager,5,Travel_Rarely,No
1281,Sales,Sales Executive,2,Travel_Rarely,Yes
1282,Sales,Manager,5,Travel_Frequently,Yes
1283,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1285,Research & Development,Laboratory Technician,2,Travel_Frequently,No
1286,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
1288,Research & Development,Manager,5,Travel_Rarely,No
1289,Human Resources,Human Resources,2,Travel_Frequently,No
1291,Research & Development,Research Scientist,1,Travel_Rarely,Yes
1292,Research & Development,Research Scientist,2,Travel_Rarely,Yes
1293,Sales,Sales Executive,3,Travel_Rarely,No
1294,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
1295,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1296,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
1297,Research & Development,Laboratory Technician,1,Travel_Frequently,No
1298,Research & Development,Manufacturing Director,2,Non-Travel,Yes
1299,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
1301,Research & Development,Research Scientist,1,Travel_Rarely,No
1303,Research & Development,Research Scientist,1,Travel_Rarely,No
1304,Sales,Sales Executive,2,Travel_Rarely,No
1306,Research & Development,Manager,5,Travel_Frequently,No
1307,Research & Development,Manager,4,Travel_Rarely,Yes
1308,Research & Development,Research Scientist,1,Travel_Rarely,No
1309,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1310,Research & Development,Research Scientist,1,Travel_Rarely,No
1311,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1312,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1314,Human Resources,Human Resources,1,Travel_Rarely,No
1315,Research & Development,Laboratory Technician,2,Non-Travel,No
1317,Research & Development,Research Director,4,Travel_Rarely,Yes
1318,Sales,Sales Executive,3,Travel_Rarely,Yes
1319,Sales,Sales Executive,3,Travel_Rarely,Yes
1321,Research & Development,Manager,3,Travel_Rarely,Yes
1322,Research & Development,Manufacturing Director,2,Travel_Rarely,No
1324,Sales,Sales Executive,3,Non-Travel,Yes
1329,Sales,Sales Executive,2,Non-Travel,No
1331,Sales,Sales Representative,1,Travel_Frequently,Yes
1333,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1334,Research & Development,Manager,4,Non-Travel,Yes
1336,Research & Development,Manager,5,Travel_Rarely,No
1338,Human Resources,Manager,5,Travel_Rarely,No
1340,Research & Development,Research Scientist,1,Non-Travel,No
1344,Research & Development,Healthcare Representative,3,Travel_Rarely,No
1346,Research & Development,Research Scientist,2,Travel_Rarely,No
1349,Sales,Sales Executive,2,Travel_Frequently,No
1350,Research & Development,Research Scientist,2,Travel_Frequently,Yes
1352,Human Resources,Manager,4,Travel_Rarely,Yes
1355,Sales,Sales Executive,2,Travel_Rarely,No
1356,Sales,Sales Executive,2,Travel_Rarely,No
1358,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1360,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
1361,Research & Development,Laboratory Technician,1,Travel_Rarely,No
1362,Sales,Sales Executive,2,Travel_Frequently,No
1363,Research & Development,Manufacturing Director,3,Travel_Rarely,No
1364,Sales,Sales Representative,1,Travel_Rarely,No
1367,Research & Development,Manufacturing Director,4,Travel_Rarely,No
1368,Research & Development,Laboratory Technician,1,Non-Travel,No
1369,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1371,Sales,Sales Executive,2,Travel_Frequently,No
1372,Sales,Sales Executive,4,Travel_Rarely,Yes
1373,Research & Development,Manufacturing Director,4,Travel_Rarely,Yes
1374,Research & Development,Research Scientist,1,Non-Travel,No
1375,Research & Development,Healthcare Representative,2,Travel_Rarely,No
1377,Research & Development,Laboratory Technician,2,Travel_Rarely,No
1379,Sales,Sales Representative,1,Travel_Frequently,No
